epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,124.466,0.45815,8.29993,2.21563,0.4967,0.31684,0.4252,0.27975,0.44246,34.85,2.28352,0.00132868,0.00132868,0.00132868
43,127.347,0.43585,7.96651,2.2026,0.55377,0.38272,0.48663,0.30082,0.43044,35.3902,2.26933,0.00132043,0.00132043,0.00132043
44,130.192,0.43163,7.31691,2.17147,0.76205,0.55355,0.70591,0.4682,0.43726,19.0928,2.27921,0.00131218,0.00131218,0.00131218
45,133.044,0.44941,7.93312,2.25783,0.83541,0.67901,0.79798,0.55442,0.40498,9.96792,2.20542,0.00130393,0.00130393,0.00130393
46,135.949,0.44449,7.57341,2.21979,0.72837,0.62899,0.74794,0.4912,0.41807,16.9884,2.29969,0.00129568,0.00129568,0.00129568
47,138.798,0.44084,7.24211,2.18091,0.68858,0.54598,0.63434,0.41659,0.41749,14.6037,2.27933,0.00128742,0.00128742,0.00128742
48,141.672,0.42755,7.12903,2.15904,0.61101,0.49383,0.59244,0.37024,0.44543,18.5935,2.38864,0.00127917,0.00127917,0.00127917
49,144.55,0.43106,7.19844,2.14922,0.61414,0.47162,0.58995,0.35538,0.46966,13.9329,2.49609,0.00127092,0.00127092,0.00127092
50,147.422,0.45782,7.36098,2.25394,0.29469,0.35802,0.30135,0.1753,0.5294,25.1385,2.47197,0.00126267,0.00126267,0.00126267
51,150.332,0.46385,7.31911,2.31688,0.5102,0.92593,0.76659,0.53397,0.41645,19.2747,2.2179,0.00125442,0.00125442,0.00125442
52,153.264,0.43722,6.99404,2.14174,0.63934,0.66667,0.69934,0.44122,0.42821,14.3372,2.33056,0.00124617,0.00124617,0.00124617
53,156.133,0.41253,6.85598,2.10166,0.63765,0.61728,0.72842,0.48189,0.38506,19.4985,2.14809,0.00123791,0.00123791,0.00123791
54,158.973,0.41855,6.95578,2.13613,0.77657,0.75309,0.83687,0.55952,0.39832,13.1362,2.18379,0.00122966,0.00122966,0.00122966
55,161.862,0.40235,6.53882,2.08668,0.84945,0.19753,0.34918,0.21295,0.42349,27.6804,2.31244,0.00122141,0.00122141,0.00122141
56,164.712,0.42139,7.02899,2.15271,0.65611,0.5889,0.67756,0.416,0.43603,21.6363,2.49391,0.00121316,0.00121316,0.00121316
57,167.577,0.43109,7.39303,2.18442,0.85349,0.5754,0.79566,0.51877,0.38607,21.4596,2.18538,0.00120491,0.00120491,0.00120491
58,170.432,0.42282,6.70253,2.11547,0.69434,0.70114,0.76884,0.46824,0.37804,20.4513,2.24276,0.00119666,0.00119666,0.00119666
59,173.28,0.42513,7.03801,2.18454,0.66422,0.64198,0.76649,0.50375,0.37549,19.6441,2.23848,0.0011884,0.0011884,0.0011884
60,176.119,0.42124,6.84171,2.16027,0.768,0.85185,0.87158,0.61603,0.40508,9.72046,2.2254,0.00118015,0.00118015,0.00118015
61,179.127,0.40164,7.09029,2.10349,0.63126,0.63409,0.72989,0.5227,0.4223,16.3373,2.24555,0.0011719,0.0011719,0.0011719
62,182.009,0.42996,7.25672,2.16071,0.62924,0.58672,0.65696,0.42144,0.47622,22.783,2.3841,0.00116365,0.00116365,0.00116365
63,184.842,0.39662,6.82884,2.08634,0.70865,0.75309,0.82362,0.55707,0.40935,13.7812,2.20696,0.0011554,0.0011554,0.0011554
64,187.711,0.41691,6.66349,2.12524,0.66216,0.60494,0.58526,0.37324,0.45728,43.0225,2.32669,0.00114715,0.00114715,0.00114715
65,190.55,0.42327,7.06576,2.13274,0.75381,0.66667,0.74266,0.48362,0.4071,11.582,2.25026,0.00113889,0.00113889,0.00113889
66,193.433,0.38277,6.13434,2.05336,0.76648,0.56731,0.68709,0.46094,0.39984,20.1507,2.22579,0.00113064,0.00113064,0.00113064
67,196.304,0.4185,6.39998,2.13388,0.55105,0.63647,0.68983,0.44771,0.43377,16.1154,2.31982,0.00112239,0.00112239,0.00112239
68,199.17,0.39554,6.44244,2.07715,0.70011,0.80705,0.82095,0.54496,0.40317,8.53351,2.23865,0.00111414,0.00111414,0.00111414
69,202.013,0.4195,6.47461,2.14375,0.70499,0.79662,0.82374,0.57845,0.41744,9.4443,2.20362,0.00110589,0.00110589,0.00110589
70,204.861,0.42555,6.5086,2.15376,0.772,0.88889,0.8728,0.61037,0.42759,7.63409,2.24989,0.00109764,0.00109764,0.00109764
71,207.708,0.44377,7.23459,2.19963,0.53465,0.51067,0.49272,0.31853,0.41802,41.6294,2.20633,0.00108938,0.00108938,0.00108938
72,210.552,0.43009,6.83368,2.18392,0.84084,0.84793,0.8959,0.55245,0.48796,10.5112,2.40603,0.00108113,0.00108113,0.00108113
