epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,113.356,0.51177,12.1618,2.3189,0.42765,0.49393,0.39054,0.23613,0.61652,16.4923,2.63398,0.00132868,0.00132868,0.00132868
43,115.976,0.47136,11.3049,2.23136,0.42794,0.67679,0.47642,0.30481,0.56881,13.5186,2.39051,0.00132043,0.00132043,0.00132043
44,119.221,0.44828,11.109,2.21968,0.41816,0.63731,0.47662,0.31099,0.61925,14.2233,2.6573,0.00131218,0.00131218,0.00131218
45,122.09,0.49078,10.7896,2.34617,0.3659,0.54384,0.34513,0.21357,0.68676,16.5752,3.00411,0.00130393,0.00130393,0.00130393
46,124.772,0.49972,11.6983,2.34558,0.4146,0.62416,0.42256,0.26246,0.61014,12.8739,2.59483,0.00129568,0.00129568,0.00129568
47,127.442,0.47587,10.8099,2.28998,0.48062,0.64658,0.49554,0.32939,0.57419,14.202,2.55295,0.00128742,0.00128742,0.00128742
48,130.219,0.46684,10.3012,2.29318,0.47278,0.71615,0.50013,0.32845,0.62029,16.9661,2.68471,0.00127917,0.00127917,0.00127917
49,132.857,0.49435,10.3722,2.33754,0.46187,0.59953,0.49739,0.31544,0.60683,16.1726,2.6075,0.00127092,0.00127092,0.00127092
50,135.5,0.46801,10.4915,2.25063,0.34709,0.6618,0.42672,0.259,0.69579,17.9377,2.86861,0.00126267,0.00126267,0.00126267
51,138.174,0.49613,10.2278,2.30814,0.30878,0.65216,0.34338,0.2056,0.70535,19.8717,2.84843,0.00125442,0.00125442,0.00125442
52,140.819,0.48223,10.3617,2.27432,0.41593,0.63934,0.44749,0.28398,0.57879,13.8375,2.5793,0.00124617,0.00124617,0.00124617
53,143.429,0.45862,10.1105,2.20948,0.39141,0.54287,0.40367,0.24754,0.61775,17.7471,2.64383,0.00123791,0.00123791,0.00123791
54,146.08,0.47001,10.2988,2.26703,0.31785,0.60341,0.38664,0.25402,0.61927,22.9072,2.60712,0.00122966,0.00122966,0.00122966
55,148.706,0.45001,10.1051,2.2144,0.4418,0.54791,0.42968,0.29324,0.5338,15.5044,2.47399,0.00122141,0.00122141,0.00122141
56,151.32,0.45529,10.1593,2.24213,0.40847,0.53171,0.39302,0.25825,0.54961,16.0658,2.40675,0.00121316,0.00121316,0.00121316
57,153.959,0.45548,9.64353,2.19297,0.41246,0.54825,0.38779,0.23958,0.60488,14.8837,2.54517,0.00120491,0.00120491,0.00120491
58,156.605,0.44448,10.2378,2.16872,0.44953,0.58305,0.43913,0.29594,0.52263,17.491,2.35047,0.00119666,0.00119666,0.00119666
59,159.221,0.4349,9.75236,2.17086,0.40652,0.59281,0.44732,0.29261,0.56594,17.5692,2.51859,0.0011884,0.0011884,0.0011884
60,161.831,0.45276,9.54601,2.22798,0.33385,0.67526,0.38155,0.23294,0.60421,16.3329,2.5856,0.00118015,0.00118015,0.00118015
61,164.461,0.45,9.80476,2.20715,0.33757,0.8017,0.43919,0.27572,0.54282,15.4937,2.43325,0.0011719,0.0011719,0.0011719
62,167.087,0.43955,8.98829,2.1619,0.30219,0.64644,0.35374,0.2208,0.67048,19.2413,3.0565,0.00116365,0.00116365,0.00116365
63,169.714,0.46308,8.71845,2.30753,0.34378,0.67713,0.43815,0.26987,0.62036,14.766,2.8371,0.0011554,0.0011554,0.0011554
64,172.332,0.44933,8.98347,2.20599,0.46996,0.44534,0.36095,0.24581,0.53888,19.9599,2.4252,0.00114715,0.00114715,0.00114715
65,174.98,0.45748,9.69075,2.24601,0.3598,0.58839,0.36214,0.22534,0.61135,21.8266,2.63364,0.00113889,0.00113889,0.00113889
