epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,129.775,0.38888,7.7515,2.04468,0.49766,0.7485,0.60009,0.41801,0.40532,11.3348,2.12245,0.00132868,0.00132868,0.00132868
43,132.823,0.40118,7.75112,2.07739,0.46699,0.69298,0.49792,0.327,0.44429,12.0234,2.2528,0.00132043,0.00132043,0.00132043
44,135.926,0.39897,7.73452,2.07471,0.49973,0.60804,0.52447,0.34365,0.45139,11.8999,2.32912,0.00131218,0.00131218,0.00131218
45,139.01,0.39469,6.71325,2.07336,0.51343,0.59089,0.54623,0.35624,0.43514,12.9427,2.24573,0.00130393,0.00130393,0.00130393
46,142.109,0.38866,6.90051,2.08975,0.6045,0.66102,0.55626,0.37314,0.43676,12.645,2.2002,0.00129568,0.00129568,0.00129568
47,145.168,0.39853,7.94661,2.06102,0.55613,0.59004,0.53023,0.37744,0.42482,12.675,2.15617,0.00128742,0.00128742,0.00128742
48,148.182,0.4117,7.53592,2.08044,0.62699,0.44347,0.41956,0.30532,0.48026,21.6537,2.2879,0.00127917,0.00127917,0.00127917
49,151.197,0.41041,7.82178,2.10543,0.44228,0.63943,0.50168,0.34657,0.44516,12.8978,2.26282,0.00127092,0.00127092,0.00127092
50,154.213,0.39012,6.95001,2.04235,0.52631,0.55118,0.55348,0.38872,0.43125,12.1059,2.22029,0.00126267,0.00126267,0.00126267
51,157.222,0.40124,7.18157,2.06286,0.60456,0.61285,0.57714,0.3955,0.4763,13.9285,2.28767,0.00125442,0.00125442,0.00125442
52,160.23,0.41046,7.08711,2.0706,0.57151,0.69259,0.61175,0.4152,0.43341,11.598,2.2111,0.00124617,0.00124617,0.00124617
53,163.271,0.38928,7.31895,2.07191,0.47549,0.63182,0.48602,0.32778,0.43773,13.0755,2.2369,0.00123791,0.00123791,0.00123791
54,166.324,0.40061,6.83213,2.06001,0.65525,0.67406,0.68587,0.48615,0.41562,10.9636,2.1511,0.00122966,0.00122966,0.00122966
55,169.56,0.37994,6.84884,2.00752,0.54697,0.58193,0.52627,0.35981,0.41441,11.9504,2.15643,0.00122141,0.00122141,0.00122141
56,172.595,0.39322,7.34329,2.07008,0.50227,0.55421,0.47834,0.30902,0.47524,15.3339,2.29812,0.00121316,0.00121316,0.00121316
57,175.673,0.3911,6.5558,2.02623,0.56645,0.62185,0.60228,0.41737,0.42968,12.5264,2.15128,0.00120491,0.00120491,0.00120491
58,178.788,0.40026,6.70087,2.06471,0.56191,0.65336,0.57204,0.4027,0.4131,12.0821,2.14565,0.00119666,0.00119666,0.00119666
59,181.836,0.40048,6.81807,2.04933,0.57532,0.65246,0.65189,0.4506,0.44268,12.3293,2.21165,0.0011884,0.0011884,0.0011884
60,184.857,0.37585,6.48385,2.00224,0.65158,0.65936,0.64824,0.46478,0.44046,13.84,2.25774,0.00118015,0.00118015,0.00118015
61,187.919,0.37528,6.33282,2.0288,0.61341,0.60834,0.57968,0.38536,0.45305,13.7043,2.2514,0.0011719,0.0011719,0.0011719
62,191.078,0.35914,6.15222,1.98725,0.44385,0.73026,0.53841,0.36333,0.43958,13.3843,2.18321,0.00116365,0.00116365,0.00116365
63,194.145,0.38761,6.6934,2.02842,0.56809,0.67287,0.61725,0.43806,0.4411,12.7908,2.16131,0.0011554,0.0011554,0.0011554
64,197.216,0.38904,6.85994,2.01667,0.57605,0.7226,0.6434,0.4605,0.42514,11.6815,2.16193,0.00114715,0.00114715,0.00114715
65,200.238,0.37204,6.57345,2.01875,0.44764,0.6776,0.56959,0.37053,0.48845,13.1079,2.46894,0.00113889,0.00113889,0.00113889
66,203.268,0.38539,6.67283,2.02773,0.50405,0.65647,0.51355,0.32635,0.46569,12.6468,2.37629,0.00113064,0.00113064,0.00113064
67,206.29,0.38425,6.55247,2.03334,0.58108,0.69298,0.60628,0.41177,0.42817,12.6594,2.22096,0.00112239,0.00112239,0.00112239
68,209.345,0.36711,6.11468,2.00261,0.58002,0.72464,0.63346,0.45946,0.40566,11.5727,2.15692,0.00111414,0.00111414,0.00111414
69,212.373,0.36541,6.02207,2.02551,0.42148,0.72483,0.51419,0.34871,0.40677,13.9102,2.18906,0.00110589,0.00110589,0.00110589
70,215.447,0.366,6.46513,1.99217,0.60122,0.62305,0.59414,0.41786,0.40136,12.0039,2.10313,0.00109764,0.00109764,0.00109764
71,218.471,0.36852,6.26326,2.02458,0.58447,0.75892,0.7153,0.48467,0.45225,10.7425,2.18064,0.00108938,0.00108938,0.00108938
72,221.663,0.37765,6.51028,2.0341,0.39577,0.79262,0.51678,0.3618,0.424,13.6196,2.14993,0.00108113,0.00108113,0.00108113
73,224.68,0.38524,6.24818,2.05094,0.50602,0.68397,0.57221,0.38647,0.41089,12.5234,2.15996,0.00107288,0.00107288,0.00107288
74,227.718,0.37723,6.01336,2.02551,0.47353,0.81251,0.54291,0.37694,0.42119,12.3756,2.1604,0.00106463,0.00106463,0.00106463
75,230.762,0.3654,6.09781,1.98141,0.45798,0.75739,0.54147,0.39408,0.39574,13.5041,2.0574,0.00105638,0.00105638,0.00105638
76,233.806,0.36281,5.87143,1.93056,0.48394,0.7428,0.58964,0.4152,0.40838,12.5679,2.07438,0.00104813,0.00104813,0.00104813
77,236.842,0.37379,6.20432,2.04069,0.45309,0.70619,0.55683,0.38295,0.45394,12.8396,2.17339,0.00103987,0.00103987,0.00103987
78,239.891,0.39412,6.58552,2.05025,0.54352,0.65666,0.58032,0.40929,0.44048,12.6536,2.17659,0.00103162,0.00103162,0.00103162
79,242.947,0.38332,6.37444,1.99288,0.53055,0.69339,0.62354,0.44542,0.44581,13.5982,2.18254,0.00102337,0.00102337,0.00102337
80,246,0.36871,6.2961,1.9959,0.55075,0.62032,0.53435,0.35274,0.49952,14.0772,2.37046,0.00101512,0.00101512,0.00101512
81,249.059,0.36079,5.83298,1.99013,0.52176,0.59334,0.49754,0.33457,0.45845,13.2843,2.33207,0.00100687,0.00100687,0.00100687
82,252.141,0.34828,5.58891,1.96377,0.55536,0.72149,0.62796,0.43783,0.43274,12.8462,2.24976,0.000998616,0.000998616,0.000998616
83,255.232,0.35825,5.65481,1.96778,0.57437,0.67947,0.60273,0.42512,0.41482,11.2244,2.14548,0.000990365,0.000990365,0.000990365
84,258.271,0.36362,5.87421,1.98052,0.55761,0.7509,0.59754,0.42902,0.4238,11.3069,2.15533,0.000982113,0.000982113,0.000982113
85,261.322,0.35447,5.31935,1.95774,0.54162,0.73379,0.59531,0.42127,0.45459,12.3369,2.25456,0.000973861,0.000973861,0.000973861
86,264.382,0.37037,5.70272,1.97039,0.46698,0.66318,0.58995,0.41242,0.43734,12.4428,2.23733,0.00096561,0.00096561,0.00096561
87,267.458,0.36038,6.18626,1.98943,0.56015,0.58539,0.52108,0.36751,0.43271,13.4206,2.24658,0.000957358,0.000957358,0.000957358
88,270.528,0.36213,6.0027,1.97592,0.51184,0.70438,0.56769,0.38526,0.42988,12.5397,2.17136,0.000949106,0.000949106,0.000949106
89,273.592,0.36644,5.81572,1.98239,0.5685,0.57862,0.55227,0.39411,0.43335,13.7204,2.19568,0.000940855,0.000940855,0.000940855
90,276.666,0.36245,6.35221,1.98484,0.40917,0.64316,0.42762,0.30438,0.42259,16.4132,2.17915,0.000932603,0.000932603,0.000932603
91,279.743,0.34653,5.83422,1.9943,0.54534,0.61006,0.59078,0.41603,0.41168,12.9888,2.15517,0.000924352,0.000924352,0.000924352
92,282.799,0.37186,5.7295,1.99507,0.53729,0.77131,0.656,0.45478,0.44046,11.9674,2.21348,0.0009161,0.0009161,0.0009161
93,285.895,0.35229,5.69254,1.97826,0.53079,0.60114,0.52313,0.34992,0.44323,12.8959,2.19826,0.000907848,0.000907848,0.000907848
94,288.922,0.35466,5.51807,1.95745,0.46297,0.69868,0.5345,0.38154,0.43192,12.1903,2.18349,0.000899597,0.000899597,0.000899597
95,291.99,0.36875,5.81152,1.99187,0.53696,0.77648,0.60282,0.41564,0.43855,11.7876,2.25662,0.000891345,0.000891345,0.000891345
96,295.043,0.35503,5.22151,1.96902,0.54468,0.73881,0.63357,0.44977,0.42783,10.8964,2.20681,0.000883093,0.000883093,0.000883093
97,298.114,0.35896,5.63055,1.99595,0.50599,0.70957,0.57339,0.39317,0.44529,13.1473,2.24963,0.000874842,0.000874842,0.000874842
98,301.195,0.3456,5.33905,1.92985,0.5668,0.62814,0.61745,0.42854,0.42345,18.4971,2.1724,0.00086659,0.00086659,0.00086659
99,304.24,0.37062,5.84469,2.01524,0.63285,0.55932,0.57495,0.4068,0.42099,18.6262,2.15341,0.000858338,0.000858338,0.000858338
100,307.287,0.36159,5.70184,1.96198,0.52918,0.67617,0.59393,0.40833,0.45812,13.9603,2.23394,0.000850087,0.000850087,0.000850087
101,310.358,0.36231,5.57141,1.97801,0.47213,0.72009,0.52922,0.37756,0.43305,15.2634,2.18199,0.000841835,0.000841835,0.000841835
102,313.402,0.37081,5.88179,1.99528,0.4559,0.62065,0.48874,0.33042,0.4477,16.2486,2.28757,0.000833583,0.000833583,0.000833583
103,316.462,0.34897,5.4555,1.94455,0.43196,0.69868,0.50815,0.33397,0.43155,14.8621,2.21789,0.000825332,0.000825332,0.000825332
104,319.524,0.3575,5.62783,1.99033,0.5547,0.63509,0.53619,0.36935,0.42274,13.1334,2.18256,0.00081708,0.00081708,0.00081708
105,322.6,0.32887,5.14196,1.91554,0.49699,0.67825,0.5,0.33866,0.43981,14.6895,2.21744,0.000808828,0.000808828,0.000808828
